,id,Premises,Relations,Prompt,Correct,Type,n_p,Derivation,pPrems,pCorrect,taskPremise,Premise1,Premise2,extraPremises,option1,option2,option3
10,11,"['Today is the closing of the old shop', 'Yesterday was Christmas.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is the closing of the old shop. Yesterday was Christmas.","[0, 1, 1]",Regular,2,Mutual,"
1: Was the closing of the old shop yesterday?
2: Is the closing of the old shop today?
3: Was Christmas yesterday?","['no select', 'select', 'select']",Select all questions to which the answer is 'yes'.,Today is the closing of the old shop,Yesterday was Christmas.,,Was the closing of the old shop yesterday?,Is the closing of the old shop today?,Was Christmas yesterday?
11,12,"['Today is the closing of the old shop', 'Yesterday was Christmas.']",['temporal'],"Select all questions to which the answer is 'no'.
Today is the closing of the old shop. Yesterday was Christmas. If today were yesterday and yesterday were today;","[0, 1, 0]",Temporal Reversal,2,Mutual,"
1: Would Christmas be today?
2: Would the closing of the old shop be today?
3: Would the closing of the old shop have been yesterday?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,Today is the closing of the old shop,Yesterday was Christmas.,If today were yesterday and yesterday were today;,Would Christmas be today?,Would the closing of the old shop be today?,Would the closing of the old shop have been yesterday?
12,13,"['Today is my birthday', 'Yesterday was Easter.']",['temporal'],"Select all questions to which the answer is 'yes'.
Today is my birthday. Yesterday was Easter.","[0, 0, 1]",Regular,2,Mutual,"
1: Was my birthday yesterday?
2: Is Easter today?
3: Is my birthday today?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,Today is my birthday,Yesterday was Easter.,,Was my birthday yesterday?,Is Easter today?,Is my birthday today?
13,14,"['Today is my birthday', 'Yesterday was Easter.']",['temporal'],"Select all questions to which the answer is 'no'.
Today is my birthday. Yesterday was Easter. If today were yesterday and yesterday were today;","[1, 0, 1]",Temporal Reversal,2,Mutual,"
1: Would my birthday be today?
2: Would my birthday have been yesterday?
3: Would Easter have been yesterday?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,Today is my birthday,Yesterday was Easter.,If today were yesterday and yesterday were today;,Would my birthday be today?,Would my birthday have been yesterday?,Would Easter have been yesterday?
14,15,"['Today is the final of the Voice', 'Yesterday was the opening of the new supermarket.']",['temporal'],"Select all questions to which the answer is 'no'.
Today is the final of the Voice. Yesterday was the opening of the new supermarket.","[1, 0, 0]",Regular,2,Mutual,"
1: Is the opening of the new supermarket today?
2: Is the final of the Voice today?
3: Was the opening of the new supermarket yesterday?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,Today is the final of the Voice,Yesterday was the opening of the new supermarket.,,Is the opening of the new supermarket today?,Is the final of the Voice today?,Was the opening of the new supermarket yesterday?
15,16,"['Today is the final of the Voice', 'Yesterday was the opening of the new supermarket.']",['temporal'],"Select all questions to which the answer is 'no'.
Today is the final of the Voice. Yesterday was the opening of the new supermarket. If today were yesterday and yesterday were today;","[1, 0, 1]",Temporal Reversal,2,Mutual,"
1: Would the opening of the new supermarket have been yesterday?
2: Would the opening of the new supermarket be today?
3: Would the final of the Voice be today?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,Today is the final of the Voice,Yesterday was the opening of the new supermarket.,If today were yesterday and yesterday were today;,Would the opening of the new supermarket have been yesterday?,Would the opening of the new supermarket be today?,Would the final of the Voice be today?
16,17,"['Today is your birthday', ""Yesterday was mom's birthday.""]",['temporal'],"Select all questions to which the answer is 'yes'.
Today is your birthday. Yesterday was mom's birthday.","[0, 0, 1]",Regular,2,Mutual,"
1: Was your birthday yesterday?
2: Is mom's birthday today?
3: Was mom's birthday yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,Today is your birthday,Yesterday was mom's birthday.,,Was your birthday yesterday?,Is mom's birthday today?,Was mom's birthday yesterday?
17,18,"['Today is your birthday', ""Yesterday was mom's birthday.""]",['temporal'],"Select all questions to which the answer is 'no'.
Today is your birthday. Yesterday was mom's birthday. If today were yesterday and yesterday were today;","[0, 0, 1]",Temporal Reversal,2,Mutual,"
1: Would your birthday have been yesterday?
2: Would mom's birthday be today?
3: Would mom's birthday have been yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,Today is your birthday,Yesterday was mom's birthday.,If today were yesterday and yesterday were today;,Would your birthday have been yesterday?,Would mom's birthday be today?,Would mom's birthday have been yesterday?
18,19,"['The red chair is here', 'The blue chair is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The red chair is here. The blue chair is there.","[1, 1, 0]",Regular,2,Mutual,"
1: Is the red chair here?
2: Is the blue chair there?
3: Is the red chair there?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,The red chair is here,The blue chair is there.,,Is the red chair here?,Is the blue chair there?,Is the red chair there?
19,20,"['The red chair is here', 'The blue chair is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The red chair is here. The blue chair is there. If here were there and there were here;","[1, 0, 1]",Spatial Reversal,2,Mutual,"
1: Would the blue chair be here?
2: Would the blue chair be there?
3: Would the red chair be there?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,The red chair is here,The blue chair is there.,If here were there and there were here;,Would the blue chair be here?,Would the blue chair be there?,Would the red chair be there?
20,21,"['The pharmacy is here', 'The grocery store is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The pharmacy is here. The grocery store is there.","[0, 1, 0]",Regular,2,Mutual,"
1: Is the grocery store here?
2: Is the pharmacy here?
3: Is the pharmacy there?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,The pharmacy is here,The grocery store is there.,,Is the grocery store here?,Is the pharmacy here?,Is the pharmacy there?
21,22,"['The pharmacy is here', 'The grocery store is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The pharmacy is here. The grocery store is there. If here were there and there were here;","[0, 0, 1]",Spatial Reversal,2,Mutual,"
1: Would the pharmacy be here?
2: Would the grocery store be there?
3: Would the pharmacy be there?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,The pharmacy is here,The grocery store is there.,If here were there and there were here;,Would the pharmacy be here?,Would the grocery store be there?,Would the pharmacy be there?
22,23,"['The school is here', 'My home is there.']",['spatial'],"Select all questions to which the answer is 'no'.
The school is here. My home is there.","[1, 1, 0]",Regular,2,Mutual,"
1: Is my home here?
2: Is the school there?
3: Is the school here?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,The school is here,My home is there.,,Is my home here?,Is the school there?,Is the school here?
23,24,"['The school is here', 'My home is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The school is here. My home is there. If here were there and there were here;","[1, 0, 0]",Spatial Reversal,2,Mutual,"
1: Would my home be here?
2: Would the school be here?
3: Would my home be there?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,The school is here,My home is there.,If here were there and there were here;,Would my home be here?,Would the school be here?,Would my home be there?
24,25,"['The bank is here', 'The supermarket is there.']",['spatial'],"Select all questions to which the answer is 'no'.
The bank is here. The supermarket is there.","[1, 0, 0]",Regular,2,Mutual,"
1: Is the supermarket here?
2: Is the bank here?
3: Is the supermarket there?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,The bank is here,The supermarket is there.,,Is the supermarket here?,Is the bank here?,Is the supermarket there?
25,26,"['The bank is here', 'The supermarket is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The bank is here. The supermarket is there. If here were there and there were here;","[0, 1, 0]",Spatial Reversal,2,Mutual,"
1: Would the bank be here?
2: Would the supermarket be here?
3: Would the supermarket be there?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,The bank is here,The supermarket is there.,If here were there and there were here;,Would the bank be here?,Would the supermarket be here?,Would the supermarket be there?
26,27,"['My wallet is here', 'My phone is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
My wallet is here. My phone is there.","[1, 1, 0]",Regular,2,Mutual,"
1: Is my wallet here?
2: Is my phone there?
3: Is my phone here?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,My wallet is here,My phone is there.,,Is my wallet here?,Is my phone there?,Is my phone here?
27,28,"['My wallet is here', 'My phone is there.']",['spatial'],"Select all questions to which the answer is 'no'.
My wallet is here. My phone is there. If here were there and there were here;","[1, 0, 0]",Spatial Reversal,2,Mutual,"
1: Would my wallet be here?
2: Would my phone be here?
3: Would my wallet be there?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,My wallet is here,My phone is there.,If here were there and there were here;,Would my wallet be here?,Would my phone be here?,Would my wallet be there?
28,29,"['The bus stop is here', 'The post office is there.']",['spatial'],"Select all questions to which the answer is 'no'.
The bus stop is here. The post office is there.","[1, 0, 0]",Regular,2,Mutual,"
1: Is the post office here?
2: Is the post office there?
3: Is the bus stop here?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,The bus stop is here,The post office is there.,,Is the post office here?,Is the post office there?,Is the bus stop here?
29,30,"['The bus stop is here', 'The post office is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The bus stop is here. The post office is there. If here were there and there were here;","[0, 1, 0]",Spatial Reversal,2,Mutual,"
1: Would the bus stop be here?
2: Would the bus stop be there?
3: Would the post office be there?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,The bus stop is here,The post office is there.,If here were there and there were here;,Would the bus stop be here?,Would the bus stop be there?,Would the post office be there?
30,31,"['The chair is here', 'The table is there.']",['spatial'],"Select all questions to which the answer is 'no'.
The chair is here. The table is there.","[1, 0, 1]",Regular,2,Mutual,"
1: Is the chair there?
2: Is the table there?
3: Is the table here?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,The chair is here,The table is there.,,Is the chair there?,Is the table there?,Is the table here?
31,32,"['The chair is here', 'The table is there.']",['spatial'],"Select all questions to which the answer is 'no'.
The chair is here. The table is there. If here were there and there were here;","[1, 0, 0]",Spatial Reversal,2,Mutual,"
1: Would the table be there?
2: Would the chair be there?
3: Would the table be here?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,The chair is here,The table is there.,If here were there and there were here;,Would the table be there?,Would the chair be there?,Would the table be here?
32,33,"['The green chair is here', 'The red chair is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
The green chair is here. The red chair is there.","[0, 0, 1]",Regular,2,Mutual,"
1: Is the green chair there?
2: Is the red chair here?
3: Is the green chair here?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,The green chair is here,The red chair is there.,,Is the green chair there?,Is the red chair here?,Is the green chair here?
33,34,"['The green chair is here', 'The red chair is there.']",['spatial'],"Select all questions to which the answer is 'no'.
The green chair is here. The red chair is there. If here were there and there were here;","[1, 1, 0]",Spatial Reversal,2,Mutual,"
1: Would the green chair be here?
2: Would the red chair be there?
3: Would the red chair be here?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,The green chair is here,The red chair is there.,If here were there and there were here;,Would the green chair be here?,Would the red chair be there?,Would the red chair be here?
34,35,"['My book is here', 'My bag is there.']",['spatial'],"Select all questions to which the answer is 'no'.
My book is here. My bag is there.","[0, 1, 0]",Regular,2,Mutual,"
1: Is my book here?
2: Is my bag here?
3: Is my bag there?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,My book is here,My bag is there.,,Is my book here?,Is my bag here?,Is my bag there?
35,36,"['My book is here', 'My bag is there.']",['spatial'],"Select all questions to which the answer is 'yes'.
My book is here. My bag is there. If here were there and there were here;","[0, 1, 1]",Spatial Reversal,2,Mutual,"
1: Would my bag be there?
2: Would my bag be here?
3: Would my book be there?","['no select', 'select', 'select']",Select all questions to which the answer is 'yes'.,My book is here,My bag is there.,If here were there and there were here;,Would my bag be there?,Would my bag be here?,Would my book be there?
36,1,"['You think cats are fun', 'I think cats are annoying and dirty.']",['interpersonal-thinking'],"Select all questions to which the answer is 'no'.
You think cats are fun. I think cats are annoying and dirty.","[1, 1, 0]",Regular,2,Mutual,"
1: Do you think cats are annoying and dirty?
2: Do I think cats are fun?
3: Do you think cats are fun?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,You think cats are fun,I think cats are annoying and dirty.,,Do you think cats are annoying and dirty?,Do I think cats are fun?,Do you think cats are fun?
37,2,"['You think cats are fun', 'I think cats are annoying and dirty.']",['interpersonal-thinking'],"Select all questions to which the answer is 'no'.
You think cats are fun. I think cats are annoying and dirty. If I were you and you were me;","[1, 0, 0]",Interpersonal Reversal,2,Mutual,"
1: Would I think cats are annoying and dirty?
2: Would I think cats are fun?
3: Would you think cats are annoying and dirty?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,You think cats are fun,I think cats are annoying and dirty.,If I were you and you were me;,Would I think cats are annoying and dirty?,Would I think cats are fun?,Would you think cats are annoying and dirty?
38,3,"['You think ducks are funny and cute', 'I think ducks are boring.']",['interpersonal-thinking'],"Select all questions to which the answer is 'yes'.
You think ducks are funny and cute. I think ducks are boring.","[1, 0, 0]",Regular,2,Mutual,"
1: Do I think ducks are boring?
2: Do I think ducks are funny and cute?
3: Do you think ducks are boring?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,You think ducks are funny and cute,I think ducks are boring.,,Do I think ducks are boring?,Do I think ducks are funny and cute?,Do you think ducks are boring?
39,4,"['You think ducks are funny and cute', 'I think ducks are boring.']",['interpersonal-thinking'],"Select all questions to which the answer is 'no'.
You think ducks are funny and cute. I think ducks are boring. If I were you and you were me;","[0, 1, 1]",Interpersonal Reversal,2,Mutual,"
1: Would you think ducks are boring?
2: Would you think ducks are funny and cute?
3: Would I think ducks are boring?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,You think ducks are funny and cute,I think ducks are boring.,If I were you and you were me;,Would you think ducks are boring?,Would you think ducks are funny and cute?,Would I think ducks are boring?
40,5,"['You think politics is boring', 'I think politics is important.']",['interpersonal-thinking'],"Select all questions to which the answer is 'yes'.
You think politics is boring. I think politics is important.","[1, 1, 0]",Regular,2,Mutual,"
1: Do I think politics is important?
2: Do you think politics is boring?
3: Do I think politics is boring?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,You think politics is boring,I think politics is important.,,Do I think politics is important?,Do you think politics is boring?,Do I think politics is boring?
41,6,"['You think politics is boring', 'I think politics is important.']",['interpersonal-thinking'],"Select all questions to which the answer is 'yes'.
You think politics is boring. I think politics is important. If I were you and you were me;","[1, 1, 0]",Interpersonal Reversal,2,Mutual,"
1: Would you think politics is important?
2: Would I think politics is boring?
3: Would I think politics is important?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,You think politics is boring,I think politics is important.,If I were you and you were me;,Would you think politics is important?,Would I think politics is boring?,Would I think politics is important?
42,7,"['I feel happy', 'You feel sad.']",['interpersonal-feeling'],"Select all questions to which the answer is 'yes'.
I feel happy. You feel sad.","[0, 0, 1]",Regular,2,Mutual,"
1: Do I feel sad?
2: Do you feel happy?
3: Do you feel sad?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,I feel happy,You feel sad.,,Do I feel sad?,Do you feel happy?,Do you feel sad?
43,8,"['I feel happy', 'You feel sad.']",['interpersonal-feeling'],"Select all questions to which the answer is 'no'.
I feel happy. You feel sad. If I were you and you were me;","[0, 0, 1]",Interpersonal Reversal,2,Mutual,"
1: Would you feel happy?
2: Would I feel sad?
3: Would I feel happy?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,I feel happy,You feel sad.,If I were you and you were me;,Would you feel happy?,Would I feel sad?,Would I feel happy?
44,9,"['I feel angry', 'You feel confused.']",['interpersonal-feeling'],"Select all questions to which the answer is 'no'.
I feel angry. You feel confused.","[0, 1, 1]",Regular,2,Mutual,"
1: Do I feel angry?
2: Do you feel angry?
3: Do I feel confused?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,I feel angry,You feel confused.,,Do I feel angry?,Do you feel angry?,Do I feel confused?
45,10,"['I feel angry', 'You feel confused.']",['interpersonal-feeling'],"Select all questions to which the answer is 'no'.
I feel angry. You feel confused. If I were you and you were me;","[0, 1, 0]",Interpersonal Reversal,2,Mutual,"
1: Would I feel confused?
2: Would I feel angry?
3: Would you feel angry?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I feel angry,You feel confused.,If I were you and you were me;,Would I feel confused?,Would I feel angry?,Would you feel angry?
46,11,"['I feel scared', 'You feel safe.']",['interpersonal-feeling'],"Select all questions to which the answer is 'no'.
I feel scared. You feel safe.","[0, 1, 1]",Regular,2,Mutual,"
1: Do I feel scared?
2: Do I feel safe?
3: Do you feel scared?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,I feel scared,You feel safe.,,Do I feel scared?,Do I feel safe?,Do you feel scared?
47,12,"['I feel scared', 'You feel safe.']",['interpersonal-feeling'],"Select all questions to which the answer is 'no'.
I feel scared. You feel safe. If I were you and you were me;","[1, 0, 1]",Interpersonal Reversal,2,Mutual,"
1: Would you feel safe?
2: Would you feel scared?
3: Would I feel scared?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,I feel scared,You feel safe.,If I were you and you were me;,Would you feel safe?,Would you feel scared?,Would I feel scared?
48,13,"['You are sitting on a red chair', 'I am sitting on a blue chair.']",['interpersonal-doing'],"Select all questions to which the answer is 'no'.
You are sitting on a red chair. I am sitting on a blue chair.","[1, 0, 0]",Regular,2,Mutual,"
1: Am I sitting on a red chair?
2: Am I sitting on a blue chair?
3: Are you sitting on a red chair?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,You are sitting on a red chair,I am sitting on a blue chair.,,Am I sitting on a red chair?,Am I sitting on a blue chair?,Are you sitting on a red chair?
49,14,"['You are sitting on a red chair', 'I am sitting on a blue chair.']",['interpersonal-doing'],"Select all questions to which the answer is 'yes'.
You are sitting on a red chair. I am sitting on a blue chair. If I were you and you were me;","[0, 1, 0]",Interpersonal Reversal,2,Mutual,"
1: Would you be sitting on a red chair?
2: Would I be sitting on a red chair?
3: Would I be sitting on a blue chair?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,You are sitting on a red chair,I am sitting on a blue chair.,If I were you and you were me;,Would you be sitting on a red chair?,Would I be sitting on a red chair?,Would I be sitting on a blue chair?
50,15,"['I am playing chess', 'You are reading a book.']",['interpersonal-doing'],"Select all questions to which the answer is 'yes'.
I am playing chess. You are reading a book.","[0, 1, 0]",Regular,2,Mutual,"
1: Are you playing chess?
2: Are you reading a book?
3: Am I reading a book?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,I am playing chess,You are reading a book.,,Are you playing chess?,Are you reading a book?,Am I reading a book?
51,16,"['I am playing chess', 'You are reading a book.']",['interpersonal-doing'],"Select all questions to which the answer is 'yes'.
I am playing chess. You are reading a book. If I were you and you were me;","[1, 1, 0]",Interpersonal Reversal,2,Mutual,"
1: Would I be reading a book?
2: Would you be playing chess?
3: Would you be reading a book?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,I am playing chess,You are reading a book.,If I were you and you were me;,Would I be reading a book?,Would you be playing chess?,Would you be reading a book?
52,17,"['You are drinking a coke', 'I am drinking a glass of water.']",['interpersonal-doing'],"Select all questions to which the answer is 'no'.
You are drinking a coke. I am drinking a glass of water.","[0, 1, 1]",Regular,2,Mutual,"
1: Are you drinking a coke?
2: Am I drinking a coke?
3: Are you drinking a glass of water?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,You are drinking a coke,I am drinking a glass of water.,,Are you drinking a coke?,Am I drinking a coke?,Are you drinking a glass of water?
53,18,"['You are drinking a coke', 'I am drinking a glass of water.']",['interpersonal-doing'],"Select all questions to which the answer is 'no'.
You are drinking a coke. I am drinking a glass of water. If I were you and you were me;","[0, 1, 1]",Interpersonal Reversal,2,Mutual,"
1: Would I be drinking a coke?
2: Would you be drinking a coke?
3: Would I be drinking a glass of water?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,You are drinking a coke,I am drinking a glass of water.,If I were you and you were me;,Would I be drinking a coke?,Would you be drinking a coke?,Would I be drinking a glass of water?
54,1,"['The newspaper is here today', 'My phone was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The newspaper is here today. My phone was there yesterday.","[1, 1, 0]",Regular,2,Mutual,"
1: Was the newspaper there yesterday?
2: Is my phone here today?
3: Was my phone there yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,The newspaper is here today,My phone was there yesterday.,,Was the newspaper there yesterday?,Is my phone here today?,Was my phone there yesterday?
55,2,"['The newspaper is here today', 'My phone was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The newspaper is here today. My phone was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[1, 0, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would the newspaper be here today?
2: Would the newspaper have been there yesterday?
3: Would my phone have been there yesterday?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,The newspaper is here today,My phone was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would the newspaper be here today?,Would the newspaper have been there yesterday?,Would my phone have been there yesterday?
56,3,"['Your phone is here today', 'Your wallet was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
Your phone is here today. Your wallet was there yesterday.","[0, 1, 0]",Regular,2,Mutual,"
1: Was your wallet there yesterday?
2: Was your phone there yesterday?
3: Is your phone here today?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,Your phone is here today,Your wallet was there yesterday.,,Was your wallet there yesterday?,Was your phone there yesterday?,Is your phone here today?
57,4,"['Your phone is here today', 'Your wallet was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'yes'.
Your phone is here today. Your wallet was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[1, 1, 0]",Spatial+Temporal Reversal,2,Mutual,"
1: Would your phone have been there yesterday?
2: Would your wallet be here today?
3: Would your wallet have been there yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,Your phone is here today,Your wallet was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would your phone have been there yesterday?,Would your wallet be here today?,Would your wallet have been there yesterday?
58,5,"['My key is here today', 'Your phone was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'yes'.
My key is here today. Your phone was there yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Was your phone there yesterday?
2: Was my key there yesterday?
3: Is your phone here today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,My key is here today,Your phone was there yesterday.,,Was your phone there yesterday?,Was my key there yesterday?,Is your phone here today?
